#
# zinc_oxide.txt
# Carel Platform, LMOPS, Université de Lorraine et CentraleSupélec
# Date:                         2021-01-12 11:30
# User:                         Sidi
# Experiment:                   van der Pauw / Hall
# Comment:                      n-type zinc oxide (on sapphire), thickness: 0.2 um, contacts: soldered indium, room temperature
#
# Columns (delimiter = TAB):    Current (A)	VoltageDC (V)	VoltageAB (V)	VoltageAD (V)	VoltageBC (V)	VoltageMAC (V)	VoltageMACN (V)	VoltageMDB (V)	VoltageMDBN (V)	Resistivity (Ohms.cm)	NB (cm^-3)	Mobility (cm2/Vs)
#
3.000000e-004	0.26080900	0.26116900	0.31262900	0.31273200	-0.04823610	-0.05432780	-0.05488320	-0.04877570	8.640905e-002	1.694073e+018	4.264284e+001
3.200000e-004	0.27851100	0.27846500	0.33344600	0.33354000	-0.05159400	-0.05777740	-0.05831590	-0.05179700	8.640534e-002	1.668371e+018	4.330162e+001
3.400000e-004	0.29591100	0.29612400	0.35434600	0.35434300	-0.05476820	-0.06135370	-0.06152200	-0.05509550	8.641956e-002	1.719569e+018	4.200546e+001
3.600000e-004	0.31347500	0.31349400	0.37505100	0.37517300	-0.05792100	-0.06521690	-0.06512210	-0.05802950	8.642094e-002	1.716682e+018	4.207544e+001
3.800000e-004	0.33089600	0.33093500	0.39617300	0.39581900	-0.06073490	-0.06872160	-0.06891840	-0.06109850	8.642955e-002	1.712644e+018	4.217045e+001
4.000000e-004	0.34787100	0.34839900	0.41656300	0.41656600	-0.06417350	-0.07206730	-0.07274540	-0.06456760	8.640173e-002	1.664334e+018	4.340849e+001
4.200000e-004	0.36568900	0.36575300	0.43746400	0.43753800	-0.06717810	-0.07573300	-0.07598960	-0.06797600	8.641043e-002	1.705513e+018	4.235612e+001
4.400000e-004	0.38310600	0.38313500	0.45861100	0.45829800	-0.07049500	-0.07951610	-0.07955260	-0.07116090	8.642575e-002	1.723031e+018	4.191806e+001
4.600000e-004	0.40017100	0.40069000	0.47950800	0.47897400	-0.07333690	-0.08319370	-0.08350390	-0.07407750	8.641316e-002	1.697266e+018	4.256061e+001
4.800000e-004	0.41750400	0.41811200	0.50024300	0.49985900	-0.07671200	-0.08664200	-0.08737440	-0.07743930	8.641025e-002	1.686295e+018	4.283894e+001

